iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness
32,34,0.08,0.21,0.02,0,0.61,0.08,442.6767741,0.725655633,59416.21312
32,43,1,0,0,0,0,0,228.9585406,0.728380335,49588.20845
32,47,0.6,0.4,0,0,0,0,558.3332502,1.014718372,72324.33046
32,48,0.55,0.45,0,0,0,0,545.1106536,1.009018079,76481.13528
32,49,0.5,0.5,0,0,0,0,595.9865156,1.031320278,80252.00733
32,50,0.45,0.55,0,0,0,0,577.5167271,1.02722593,78299.52783
32,51,0.4,0.6,0,0,0,0,603.0114566,1.048623853,79494.87716
32,76,0,0,0,0,1,0,248.0791189,0.336878815,41639.48366
32,93,0.49,0.06,0,0.14,0.02,0.29,463.109402,1.466006303,81856.93457
32,100,0.02,0.01,0.16,0.01,0.5,0.3,331.6431402,1.22611547,62332.44755
32,103,0.09,0.02,0,0.06,0.4,0.43,458.6168468,1.386465766,78606.82742
32,107,0.39,0.01,0.03,0,0,0.57,343.7863705,1.897519539,72697.88276
32,110,0.51,0.31,0.07,0.01,0.01,0.09,579.2707735,1.043737439,87100.51694
32,113,0.57,0,0.11,0.01,0.1,0.21,296.3125783,0.894600436,60049.38989
32,114,0.51,0.25,0.1,0.02,0.12,0,625.1336572,1.125299986,94708.79181
32,115,0.51,0.01,0.07,0.02,0.11,0.28,559.4404314,1.560389831,98460.55279
32,117,0.6,0,0.03,0,0.02,0.35,483.8073026,1.576979583,91455.16576
32,119,0.44,0.11,0.11,0,0.06,0.28,401.3639413,1.51756418,75081.68977
32,120,0.66,0,0.08,0,0,0.26,339.8146937,1.173108503,68370.62347
32,121,0.37,0.47,0.1,0,0.06,0,619.8269538,1.315905246,92324.89004
32,122,0.44,0.3,0.09,0.04,0.13,0,456.6094832,1.031971716,73399.8497
32,128,0.52,0.01,0.01,0,0,0.46,342.4831424,1.808395316,73190.60827
32,147,0.48,0,0.01,0,0.12,0.39,514.0292859,1.544326469,93643.65266
32,148,0.39,0,0,0.02,0.01,0.58,526.1093103,1.917593709,98663.77047
32,152,0.4,0.17,0,0,0.12,0.31,555.0825874,1.410090832,91162.34487
32,153,0.44,0.27,0,0,0.17,0.12,653.9760009,1.12145854,96005.83552
32,154,0.34,0.14,0,0,0.13,0.39,613.315698,1.354486872,102903.8092
32,155,0.33,0.12,0,0,0.13,0.42,574.5687644,1.476243782,99854.67097
32,156,0.39,0,0,0,0.22,0.39,596.1995813,1.585128318,97568.05838
32,157,0.39,0.31,0,0,0.22,0.08,673.8732926,1.308518466,96609.94287
32,158,0.41,0,0,0,0.25,0.34,570.9253318,1.572042906,97057.64081
32,159,0.35,0,0,0,0.2,0.45,453.6160309,1.855873502,85374.72712
32,160,0.33,0,0,0,0.21,0.46,512.368511,1.779861095,93175.90659
32,161,0.31,0,0,0,0.2,0.49,384.8235536,1.851027762,77997.54666
32,162,0.35,0,0,0,0.21,0.44,536.0149402,1.711265548,96497.98143
32,164,0.5,0,0,0,0.3,0.2,596.7185872,0.998163119,92484.77755
32,165,0.53,0.06,0,0,0.32,0.09,390.5277856,0.886866118,64360.61659
32,166,0.53,0,0,0,0.33,0.14,429.9864906,0.796820208,68899.78371
32,167,0.42,0,0,0,0.27,0.31,397.0291206,1.084964998,76450.31382
32,168,0.42,0.01,0,0,0.14,0.43,413.4216187,1.727595046,80202.5821
32,169,0.39,0,0,0,0.13,0.48,512.4699682,1.66638787,92116.88582
32,170,0.44,0,0,0.05,0.13,0.38,627.310456,1.588020158,103558.9154
32,172,0.42,0.12,0,0,0.06,0.4,489.1206118,1.865245913,89171.28031
32,173,0.42,0.11,0,0.01,0.07,0.39,523.325256,1.81836797,92589.21544
32,174,0.42,0.11,0,0,0.04,0.43,483.7089576,2.007073032,89596.87096
32,175,0.45,0.08,0,0,0.05,0.42,506.5947112,1.872638756,91082.82763
32,176,0.41,0.14,0,0,0.07,0.38,414.5372993,1.439483933,76845.55304
32,177,0.41,0.12,0,0,0.06,0.41,497.6450607,1.594364835,86257.9869
32,178,0.42,0.16,0,0,0.07,0.35,387.4478113,1.517534453,74536.30393
32,179,0.4,0.13,0,0,0.08,0.39,605.3055083,1.701283258,100894.656
32,185,0.27,0,0,0,0.14,0.59,373.9608807,1.762046723,76874.34588
32,186,0.3,0,0,0,0.09,0.61,304.94596,1.891955575,67570.86585
32,187,0.32,0.01,0,0,0.09,0.58,474.1479398,1.644746471,89096.72591
32,188,0.37,0.37,0,0,0.19,0.07,697.130382,1.095395804,95259.33767
32,189,0.38,0.41,0,0.01,0.19,0.01,631.9917428,1.016159572,84624.44649
32,191,0.34,0.36,0,0,0.2,0.1,558.3349556,1.152403264,81235.44093
32,192,0.39,0.23,0,0,0,0.38,500.0071482,1.676486743,86776.13367
32,193,0.37,0.22,0,0.01,0,0.4,502.4465517,1.648672256,86185.46112
32,194,0.41,0.21,0,0.01,0,0.37,497.5673475,1.68420742,87186.36653
32,204,0.41,0.14,0,0,0.07,0.38,405.7256231,1.801316546,76719.9141
32,205,0.42,0.16,0,0,0.07,0.35,528.1790255,1.502199894,87665.19139
32,206,0.53,0.06,0,0,0.32,0.09,553.3222423,0.698484924,73219.33559
32,207,0.53,0,0,0,0.33,0.14,703.3224389,1.039541786,98014.87175
32,208,0.42,0,0,0,0.27,0.31,385.5288456,1.430316049,75249.85605
32,210,0.44,0.27,0,0,0.17,0.12,744.3175339,1.098665704,102788.5516
32,211,0.34,0.14,0,0,0.13,0.39,366.69106,1.682035651,72484.47078
32,212,0.33,0.12,0,0,0.13,0.42,325.5915327,1.657065945,67753.42905
32,240,0.53,0,0,0,0.33,0.14,339.9278584,0.452575374,56708.24332