iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness,NewStress,NewModulus,NewToughness
19,146,0.01,0,0,0.36,0,0.63,334.7338633,2.040724458,65124.31825,348.347802,2.27968422,85093.3101,328.4429856,2.223476446,67725.99582
20,153,0.44,0.27,0,0,0.17,0.12,653.9760009,1.12145854,96005.83552,638.990393,1.11371299,75131.2918,744.3175339,1.098665704,102788.5516
20,154,0.34,0.14,0,0,0.13,0.39,613.315698,1.354486872,102903.8092,555.232919,1.6359133,81569.2987,366.69106,1.682035651,72484.47078
20,155,0.33,0.12,0,0,0.13,0.42,574.5687644,1.476243782,99854.67097,542.080781,1.68538358,81041.4723,325.5915327,1.657065945,67753.42905
23,165,0.53,0.06,0,0,0.32,0.09,390.5277856,0.8868661182,64360.61659,702.725704,0.80019302,100639.968,553.3222423,0.6984849239,73219.33559
23,166,0.53,0,0,0,0.33,0.14,429.9864906,0.7968202079,68899.78371,690.05825,0.95512205,103268.693,703.3224389,1.039541786,98014.87175
23,167,0.42,0,0,0,0.27,0.31,397.0291206,1.084964998,76450.31382,614.532954,1.41877261,102064.304,385.5288456,1.430316049,75249.85605
26,176,0.41,0.14,0,0,0.07,0.38,414.5372993,1.439483933,76845.55304,550.618526,1.68560732,94743.8847,405.7256231,1.801316546,76719.9141
26,178,0.42,0.16,0,0,0.07,0.35,387.4478113,1.517534453,74536.30393,561.436833,1.61622546,94948.5245,528.1790255,1.502199894,87665.19139
27,182,0.23,0,0,0,0,0.77,379.2995642,1.235026548,79505.98714,366.604485,2.23441119,71138.457,288.9775204,2.366667871,65294.26438
31,196,0.15,0,0,0,0,0.85,230.9655704,2.194129192,42770.32053,374.7396,2.3645,69659.0111,331.6066494,2.474820409,71176.94847
31,197,0.11,0,0,0,0,0.89,298.7214384,2.075804185,62599.76592,364.8835,2.5096,66828.0151,120.3833391,2.417046079,9478.563181
31,198,0.18,0,0,0,0,0.82,411.9961108,2.469960886,81011.7887,379.223,2.2492,71714.8182,348.698042,2.68626255,73545.69305