iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness
1,25,0,0.18,0.21,0.28,0.2,0.13,454.753534,1.36624116,68112.8155,0,0,0
1,26,0,0.02,0.38,0.04,0.29,0.27,279.904445,2.11330438,51731.0693,0,0,0
1,27,0.19,0.3,0.1,0.06,0.07,0.28,469.524716,1.75777468,77876.9026,0,0,0
1,28,0.08,0.16,0.14,0.04,0.19,0.39,440.042566,1.96343467,76654.9118,0,0,0
1,29,0.34,0.06,0.23,0.16,0.19,0.02,365.604657,1.230289,62118.0243,0,0,0
1,30,0.14,0.1,0.07,0.2,0.27,0.22,410.985613,1.11904851,66049.6554,0,0,0
1,31,0.07,0.07,0.32,0.21,0.03,0.3,136.165634,0.896216925,22268.5638,0,0,0
1,32,0.02,0.01,0.27,0.13,0.49,0.08,369.008756,1.31415695,61644.3642,0,0,0
1,33,0.09,0.32,0.03,0.13,0.37,0.06,533.981132,0.896762805,68784.7611,0,0,0
1,34,0.08,0.21,0.02,0,0.61,0.08,442.676774,0.725655633,59416.2131,0,0,0
1,35,0.09,0.32,0.04,0.21,0.17,0.17,507.42568,0.982173997,66650.9629,0,0,0
1,37,0.14,0.3,0.07,0.1,0.25,0.14,443.60078,1.11835782,65323.0907,0,0,0
1,39,0.04,0.17,0.07,0.22,0.24,0.26,489.589897,1.32944373,72483.9913,0,0,0
1,41,0.17,0.15,0.28,0.29,0,0.11,359.333335,1.73349772,60280.1487,0,0,0
1,42,0.1,0.14,0.14,0.26,0.27,0.09,485.246155,0.886484568,66192.4108,0,0,0
1,43,1,0,0,0,0,0,228.958541,0.728380335,49588.2084,0,0,0
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0
1,46,0,0,0,1,0,0,368.032803,0.037819494,29839.9581,0,0,0
1,47,0.6,0.4,0,0,0,0,558.33325,1.01471837,72324.3305,0,0,0
1,48,0.55,0.45,0,0,0,0,545.110654,1.00901808,76481.1353,0,0,0
1,49,0.5,0.5,0,0,0,0,595.986516,1.03132028,80252.0073,0,0,0
1,50,0.45,0.55,0,0,0,0,577.516727,1.02722593,78299.5278,0,0,0
1,51,0.4,0.6,0,0,0,0,603.011457,1.04862385,79494.8772,0,0,0
1,52,0.27,0.44,0.09,0.04,0.08,0.08,536.467889,1.33851582,83057.1828,0,0,0
1,53,0.04,0.19,0.36,0.2,0.12,0.09,380.620206,1.57608525,63939.3838,0,0,0
1,67,0,0.59,0,0.08,0.08,0.25,487.996383,1.69286146,74452.7692,0,0,0
1,68,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977,0,0,0
1,69,0.01,0.51,0,0.1,0.02,0.36,483.045729,1.70361865,74331.8675,0,0,0
1,70,0.01,0.62,0.01,0.03,0.1,0.23,461.006236,1.5331381,68683.965,0,0,0
1,71,0.06,0.3,0.41,0.01,0.01,0.21,428.673193,1.95821777,73565.0149,0,0,0
1,72,0.08,0.32,0.5,0.07,0.02,0.01,420.345846,1.75013371,70958.037,0,0,0
1,73,0.15,0.28,0.25,0.01,0.06,0.25,185.739749,1.99981795,39188.2443,0,0,0
1,75,0,0,0,0,0,1,307.591423,2.93333353,68673.8814,0,0,0
1,76,0,0,0,0,1,0,248.079119,0.336878815,41639.4837,0,0,0
2,77,0.02,0.11,0,0.5,0.03,0.34,330.421988,1.60926515,58954.7196,529.9621,2.5173,93080.4578
2,78,0.01,0.19,0,0,0,0.8,261.189724,2.53559208,54113.5267,468.2175,3.4177,71636.1514
2,79,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906,626.0288,2.037,62114.1625
2,80,0.18,0.12,0,0.36,0,0.34,442.193167,1.64259475,73645.0393,531.2292,2.3753,94363.5215
3,81,0.01,0,0.13,0.25,0,0.61,325.545413,2.25765632,65492.6759,367.2088,1.7821,59082.1104
3,82,0.32,0,0.12,0.01,0,0.55,407.456322,1.7141856,79298.8675,466.2497,1.9339,65119.3931
3,83,0.01,0.15,0.1,0.21,0,0.53,280.776835,2.08900112,55835.4428,504.6006,1.8332,74827.5906
3,84,0.01,0,0.15,0.25,0,0.59,345.444474,2.26394819,66935.485,431.3873,1.862,63174.8981
4,85,0.15,0.45,0.04,0.03,0.01,0.32,337.876572,1.71234835,65225.4544,579.1882,1.8425,83516.161
4,86,0.05,0.32,0,0.57,0.06,0,380.509871,0.614638025,47362.4095,629.7075,2.5501,67898.3554
4,87,0.31,0.52,0,0.08,0.02,0.07,423.788643,1.31213096,68132.9194,722.4119,1.5994,78127.4318
4,88,0.15,0.04,0.13,0.67,0.01,0,412.913683,0.722138878,59055.9302,451.7637,1.8895,52929.5444
5,89,0,0.21,0.2,0.58,0.01,0,389.716286,1.29748601,60315.7332,0,0,0
5,90,0,0.01,0.28,0.67,0.01,0.03,243.929876,1.58162916,43427.1956,0,0,0
5,92,0.01,0.28,0.11,0.46,0.11,0.03,418.816565,1.12186685,61444.5239,0,0,0
6,93,0.49,0.06,0,0.14,0.02,0.29,463.109402,1.4660063,81856.9346,682.7553,1.7083,91379.6391
6,95,0.14,0,0.07,0.01,0.01,0.77,260.491885,1.94211828,59060.6871,565.6392,3.4371,59919.9628
6,96,0.03,0.58,0.18,0.04,0.1,0.07,461.12711,1.56971713,75813.0467,571.6375,1.4028,93170.9962
7,97,0,0.31,0.01,0.02,0.15,0.51,434.919506,1.97230365,80545.7853,534.2951,2.2274,89881.9832
7,98,0.25,0.01,0.01,0.04,0.13,0.56,411.274128,1.70716909,85333.3874,579.8267,2.85,61983.0706
7,99,0.29,0.45,0.06,0.08,0.12,0,593.815665,1.07583283,82484.6477,622.5192,1.0988,91870.281
7,100,0.02,0.01,0.16,0.01,0.5,0.3,331.64314,1.22611547,62332.4475,385.7164,1.2922,83960.5285
8,101,0.02,0.24,0,0.03,0.26,0.45,461.8788,1.57260422,80820.6379,582.5741,1.81,91404.9324
8,102,0,0.01,0,0.01,0.27,0.71,386.398811,1.90978693,76223.9833,596.8904,2.303,72078.9333
8,103,0.09,0.02,0,0.06,0.4,0.43,458.616847,1.38646577,78606.8274,604.4295,1.4163,99137.3893
8,104,0,0.16,0,0,0.25,0.59,386.154564,1.79690294,73308.3934,568.6965,2.1065,82689.5153
9,105,0.32,0.09,0.02,0.01,0.01,0.55,420.675702,1.89630943,83069.876,649.65,1.8365,84439.6124
9,106,0,0.08,0.13,0,0.11,0.68,256.344434,2.25418135,53258.3199,388.4905,2.0675,65462.1878
9,107,0.39,0.01,0.03,0,0,0.57,343.78637,1.89751954,72697.8828,571.4654,1.6914,88907.1518
9,108,0.26,0.18,0.02,0.01,0.01,0.52,317.096786,1.92362121,66141.331,595.5315,1.9644,83132.9852
10,109,0.2,0.16,0,0,0,0.64,405.560838,1.93800612,81223.2023,382.3901,2.1225,117205.965
10,110,0.51,0.31,0.07,0.01,0.01,0.09,579.270774,1.04373744,87100.5169,552.9846,1.0542,93655.3273
10,111,0.14,0.17,0.02,0,0,0.67,297.266426,2.26639912,61771.9743,320.2197,2.4407,102527.305
10,112,0,0.03,0.02,0.21,0.32,0.42,230.002439,1.7750448,53153.7094,569.2048,1.498,82405.8718
11,113,0.57,0,0.11,0.01,0.1,0.21,296.312578,0.894600436,60049.3899,0,0,0
11,114,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918,0,0,0
11,115,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528,0,0,0
11,116,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381,0,0,0
12,117,0.6,0,0.03,0,0.02,0.35,483.807303,1.57697958,91455.1658,752.7196,1.8059,85821.07
12,118,0.34,0,0.11,0.01,0.06,0.48,333.604759,1.83398003,67470.0844,449.7875,1.7767,80445.5668
12,119,0.44,0.11,0.11,0,0.06,0.28,401.363941,1.51756418,75081.6898,443.8871,1.473,89754.3676
12,120,0.66,0,0.08,0,0,0.26,339.814694,1.1731085,68370.6235,654.2678,1.6613,87852.6442
13,121,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89,578.3659,1.052,82047.9035
13,122,0.44,0.3,0.09,0.04,0.13,0,456.609483,1.03197172,73399.8497,639.6828,0.824,82863.0743
13,123,0.27,0.61,0.12,0,0,0,527.115984,1.20521121,80673.3135,549.2717,1.2476,72901.6758
13,124,0.01,0,0,0.02,0.08,0.89,182.013155,2.14594591,33836.3245,408.6101,2.5819,75139.6141
14,126,0.21,0.11,0.06,0,0.14,0.48,299.493548,1.91150226,62779.5207,491.3358,1.9027,82596.1881
14,128,0.52,0.01,0.01,0,0,0.46,342.483142,1.80839532,73190.6083,457.2228,1.5108,106311.351
15,129,0,0.38,0.01,0,0,0.61,292.548353,2.10028229,64376.6034,422.9048,2.4327,67738.1361
15,130,0,0.31,0.01,0,0,0.68,284.196076,2.03368019,60695.87,393.0368,2.4913,68252.3848
15,131,0.32,0.34,0.02,0,0.01,0.31,418.679402,1.51207348,75788.0791,516.5047,1.6139,89753.8834
15,132,0.01,0.41,0,0,0.01,0.57,272.51303,1.9526789,60034.6655,433.7808,2.2843,69687.5726
16,133,0,0.41,0,0.13,0,0.46,324.966289,1.99693495,65021.8788,408.9601,2.114,86230.1234
16,134,0,0.18,0,0.26,0.01,0.55,361.405893,2.09134983,69395.5054,386.3772,2.494,72858.5843
16,135,0.04,0.45,0,0.07,0.01,0.43,310.119487,1.91916345,61302.0228,398.744,2.0045,89244.2329
16,136,0,0.25,0,0.25,0,0.5,321.029788,2.01991251,62665.9535,409.0192,2.3063,73522.789
17,137,0.3,0.44,0.05,0.01,0.2,0,408.26433,1.58181827,76317.7672,666.124281,0.915578882,74207.1003
17,138,0.38,0.22,0.05,0,0.01,0.38,398.256047,1.91142764,74552.8783,460.476937,1.77789663,79696.5661
17,139,0.01,0.01,0,0.36,0.02,0.6,437.966015,1.81101873,79745.2693,270.097107,2.19381585,80593.3217
17,140,0.27,0.48,0.02,0.05,0.18,0,402.977225,1.88421196,75747.1961,640.36071,1.02098771,72484.1396
18,141,0.53,0.01,0.04,0.01,0,0.41,367.764557,1.7661308,65605.9795,451.258928,1.73083127,89531.1607
18,142,0,0.53,0.12,0,0,0.35,392.940581,1.89131262,69484.2021,360.038912,2.05702784,68177.5915
18,143,0.57,0,0.05,0,0.01,0.37,317.105052,2.19523337,63761.722,435.649883,1.63860688,92750.1795
18,144,0.51,0.01,0.02,0.01,0,0.45,355.601508,1.80136582,64450.3268,458.807473,1.77888579,85369.237
19,145,0.53,0.01,0.03,0.02,0,0.41,438.268759,2.12052202,87348.601,445.517796,1.66820726,90522.2172
19,146,0,0.16,0,0,0.15,0.69,334.733863,2.04072446,65124.3183,376.673232,2.27371843,73134.8596
19,147,0,0.2,0,0,0.15,0.65,514.029286,1.54432647,93643.6527,388.048284,2.17494401,75389.2548
19,148,0.5,0.01,0.04,0.02,0,0.43,526.10931,1.91759371,98663.7705,446.402644,1.71959937,88039.3471
20,149,0,0.29,0.14,0,0,0.57,555.082587,1.41009083,91162.3449,254.998044,2.0807503,56775.2603
20,150,0.58,0,0.05,0,0.01,0.36,653.976001,1.12145854,96005.8355,435.139473,1.60587312,95039.297
20,151,0.37,0,0,0.01,0,0.62,613.315698,1.35448687,102903.809,463.039944,1.99092946,83400.9917
20,152,0.39,0.29,0,0,0,0.32,574.568764,1.47624378,99854.671,529.68643,1.66171361,76113.9156
21,153,0.47,0,0,0.01,0.12,0.4,596.199581,1.58512832,97568.0584,524.570375,1.54605929,100428.092
21,154,0.37,0,0,0.01,0.16,0.46,673.873293,1.30851847,96609.9429,535.861677,1.62268226,94294.9518
21,155,0.46,0,0,0.01,0.1,0.43,570.925332,1.57204291,97057.6408,519.616258,1.62251614,99658.8051
21,156,0.48,0,0,0.01,0.14,0.37,453.616031,1.8558735,85374.7271,530.454684,1.46567248,100562.674
22,157,0.47,0,0,0,0.14,0.39,512.368511,1.7798611,93175.9066,540.700713,1.59142428,100535.065
22,158,0.4,0,0,0,0.16,0.44,384.823554,1.85102776,77997.5467,544.430242,1.66211964,96831.4743
22,159,0.46,0,0,0,0.11,0.43,536.01494,1.71126555,96497.9814,528.554906,1.68099372,99550.0462
22,160,0.01,0.37,0.11,0,0.01,0.5,289.971224,1.9717393,66399.4183,265.74168,2.12384809,56009.9514
23,161,0.5,0,0,0,0.3,0.2,596.718587,0.998163119,92484.7776,668.407043,1.14026476,104438.019
23,162,0.53,0.06,0,0,0.32,0.09,390.527786,0.886866118,64360.6166,702.725704,0.80019302,100639.968
23,163,0.53,0,0,0,0.33,0.14,429.986491,0.796820208,68899.7837,690.05825,0.95512205,103268.693
23,164,0.42,0,0,0,0.27,0.31,397.029121,1.084965,76450.3138,614.532954,1.41877261,102064.304
24,165,0.28,0,0,0,0,0.72,413.421619,1.72759505,80202.5821,355.037964,2.16679535,78924.3522
24,166,0.26,0,0,0.01,0,0.73,512.469968,1.66638787,92116.8858,345.765447,2.18947647,77746.2162
24,167,0.28,0,0,0,0,0.72,627.310456,1.58802016,103558.915,355.037964,2.16679535,78924.3522
24,168,0.29,0,0,0,0,0.71,459.28696,1.87599114,85164.1567,361.057005,2.14526911,79648.3294
25,169,0.49,0.01,0,0.01,0.1,0.39,489.120612,1.86524591,89171.2803,497.360402,1.6141186,98993.6693
25,170,0,0,0,0.72,0.28,0,523.325256,1.81836797,92589.2154,449.382936,0.0425030778,66923.5674
25,171,0,0,0,0.72,0.28,0,483.708958,2.00707303,89596.871,449.382936,0.0425030778,66923.5674
25,172,0,0,0,0.72,0.28,0,506.594711,1.87263876,91082.8276,449.382936,0.0425030778,66923.5674
26,173,0.32,0.01,0,0.01,0.1,0.56,-1,-1,-1,464.782591,1.92703843,93262.1244
26,174,0.37,0.06,0,0,0.17,0.4,-1,-1,-1,545.36563,1.6043069,97759.0506
26,175,0.42,0.03,0,0,0.14,0.42,-1,-1,-1,526.963772,1.67888447,98901.7515
26,176,0.34,0,0,0,0.08,0.58,-1,-1,-1,461.869862,1.95366314,90246.9096
